step,q1,q2,q3,cv,ch,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
0,10.0,-10.0,10.0,0.0,0.0,6.954957825655583e-06,-11.876055717468262,0.001933922991156578,-6.248204708099365,0.5699009999807458,0.0,0.0,0.001933922991156578
1,-7.527592869158251,27.04285838459497,13.919636508684306,0.001183901810364439,-0.004127776314690762,1.647896715439856e-05,-11.013425827026367,0.0030071944929659367,-5.8067474365234375,0.018867499980842695,0.0,0.0,0.001933922991156578
2,-20.64032877982784,-26.514983269908033,21.970568746496113,0.001213380140918506,0.002496870933552546,3.708354051923379e-05,-10.202337265014648,0.004363830666989088,-5.4344048500061035,0.019744700024602935,0.0,0.0,0.001933922991156578
3,-28.76493034225185,28.19459112971966,19.946558448025307,-0.003451930671860686,-0.003818100393514793,0.0005218196311034262,-7.558188438415527,0.016372667625546455,-4.112142086029053,0.015456599998287857,0.0,0.0,0.001933922991156578
4,-18.99572940879397,-11.745465422427735,1.4853858979342718,-0.000816659776294611,-0.002505250317623497,1.6010777471819893e-05,-11.042248725891113,0.003292050678282976,-5.716244697570801,0.02704970000195317,0.0,0.0,0.001933922991156578
5,30.0,-14.749124366399235,-15.819888278772817,0.0023905701341087678,-0.006,7.539470971096307e-06,-11.795358657836914,0.00246593845076859,-6.00518274307251,0.01859410002361983,0.0,0.0,0.001933922991156578
6,14.401267002040374,-11.91153783330548,28.39213451564716,0.006,0.006,4.156752038397826e-05,-10.088191032409668,0.004595926497131586,-5.382585048675537,0.013601399987237528,0.0,0.0,0.001933922991156578
7,30.0,-12.18544695683598,-30.0,-0.006,0.006,4.079140126123093e-05,-10.107039451599121,0.005276192910969257,-5.244550704956055,0.013148099998943508,0.0,0.0,0.001933922991156578
8,24.435201016024944,-3.5894312078959687,-26.27075264307315,0.0006290712122448725,-0.006,1.7832626326708123e-05,-10.934480667114258,0.003448891919106245,-5.669702053070068,0.01255509999464266,0.0,0.0,0.001933922991156578
9,-10.06987355793447,-10.851850100146814,-16.473710488560297,0.006,-0.006,2.783231138892006e-06,-12.791897773742676,0.001648074365220964,-6.408147811889648,0.015691199980210513,0.0,0.0,0.001648074365220964
