step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae,learned_q1_offset_x,learned_q1_offset_y,learned_q2_offset_x,learned_q2_offset_y,learned_q3_offset_x,learned_q3_offset_y
0,10.0,-10.0,0.0,10.0,0.0,0.00031611177837476134,9.911233792081475e-05,0.0007093114545568824,0.00020132388453930616,0.00025469946558587253,1.3212178000248969,0.0,0.0,0.00031611177837476134,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257
1,0.023750138054475237,-3.9942472641233073,-5.664854756383413e-05,-0.597167254341838,-9.090023784602253e-05,0.00010738272976595908,2.40269710047869e-05,5.2426614274736494e-05,0.0002715039299800992,8.157340198522434e-05,0.0035398000618442893,0.0,0.0,0.00010738272976595908,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257
2,-0.007082751142373717,-19.907985679405204,3.372369483624423e-06,0.009351435414853745,-0.00013751658025695277,0.0003465710615273565,0.0002627392241265625,0.0003482280299067497,0.0005966683966107666,0.00017864858091343194,0.0036039999686181545,0.0,0.0,0.00010738272976595908,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257
3,0.002430427126400818,11.382677544174296,0.00043403794028850224,0.0001310342442603482,0.00018972744185749107,0.00019873646670021117,-8.535185770597309e-05,0.0002882755361497402,0.00021889338677283376,0.00020242502796463668,0.003698800108395517,0.0,0.0,0.00010738272976595908,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257
4,0.0023435250881064856,10.216010571525707,5.900982069905219e-05,0.00044843691978690086,7.403181227459148e-05,0.0001431533310096711,-0.0001202574567287229,-5.816342672915198e-05,0.00020411360310390592,0.00019007883383892477,0.00429519999306649,0.0,0.0,0.00010738272976595908,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257
5,0.0030213416656468214,17.483578975129078,-9.668645555159711e-05,-0.0017602780759177932,0.00021279405262183623,0.0002698814496397972,-0.00016308625345118344,-0.0003313570050522685,0.00031480719917453825,0.0002702753699850291,0.003674799925647676,0.0,0.0,0.00010738272976595908,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257
6,0.002448432769549456,11.56265609055731,-3.901918157938968e-05,8.590367533027343e-05,-0.00014365807656492957,0.00020990379562135786,-0.00023801330826245248,-0.00017592977383174002,0.00022132101003080606,0.00020435107580851763,0.004399799974635243,0.0,0.0,0.00010738272976595908,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257
7,0.002111744329103523,6.7361870816045615,9.560754142265958e-05,0.0014181779090659302,-0.0031106018299235892,0.00046609531273134053,-0.0015015751123428345,3.421383735258132e-05,0.00017362080689053982,0.00015497153799515218,0.0036425000289455056,0.0,0.0,0.00010738272976595908,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257
8,0.002322055338799588,9.634514989652136,-0.00029261588375056766,0.0006118603910615416,-0.0007924985588927139,0.00031863636104390025,-0.0005016072536818683,-0.0003914639528375119,0.0001974531915038824,0.00018402111891191453,0.00356330000795424,0.0,0.0,0.00010738272976595908,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257
9,0.0023076161415769353,9.194544660600915,-0.0008472078798134084,0.0007320385633700894,0.0006253740132502543,0.00036005201400257647,0.00014295031724032015,-0.0009250008733943105,0.00019277332467027009,0.0001794835989130661,0.004330500029027462,0.0,0.0,0.00010738272976595908,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257
10,0.002098369238717798,24.131471703674737,0.0010387704844480236,0.005938665418066847,0.0012619421989000796,0.00041483965469524264,0.0002161894808523357,0.0006609526462852955,0.00043326799641363323,0.0003489484661258757,0.008746300009079278,0.0,0.0,0.00010738272976595908,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257
11,0.00023038588453143591,-10.142110526999067,-0.0052661586584607225,0.006328406955962692,-0.001330485690066488,0.0014622295275330544,-0.0004366584471426904,-0.004932290408760309,0.000378264143364504,0.00010170505265705287,0.004418600001372397,0.0,0.0,0.00010738272976595908,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257
12,0.0021913534619711393,7.764900864115449,2.790765112750222e-05,0.0011331299515949746,-2.4734278284109807e-05,0.00013046900858171284,-0.00012833085202146322,-4.845818330068141e-05,0.00018004656885750592,0.00016504043014720082,0.004180000047199428,0.0,0.0,0.00010738272976595908,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257
13,0.0008927391443577333,-5.439782503963467,8.91696525634689e-05,0.004488666802197748,-8.573194096036688e-05,0.0001592084881849587,4.781617462867871e-05,0.00021906933397985995,0.00028518176986835897,8.476666698697954e-05,0.004328100010752678,0.0,0.0,0.00010738272976595908,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257
