step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae,q1_misalign_x,q1_misalign_y,q2_misalign_x,q2_misalign_y,q3_misalign_x,q3_misalign_y
0,10.0,-10.0,0.0,10.0,0.0,0.00041285480256192386,-0.0001844415528466925,-0.0011707161320373416,0.00011004647240042686,0.00018621508206706494,1.1395247000036761,0.0,0.0,0.00041285480256192386,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
1,-30.0,24.615513710109465,0.0057627792275069915,-24.966679733426712,-0.002086384022973831,0.000815681938547641,-4.1541170503478497e-10,0.0028262867126613855,0.000433594745118171,2.845810286089545e-06,0.03318769999896176,0.0,0.0,0.00041285480256192386,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
2,-27.820123855605978,21.95750219398009,-0.0007448548874470394,-24.667601642479244,-0.0019132574211172407,8.648542461742181e-06,2.612495109133306e-09,4.3091574752907036e-10,2.8759819542756304e-05,5.831307134940289e-06,0.027100399995106272,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
3,4.685232863212335,-3.5636838371167032,1.5178661357952672e-05,-11.672767779072137,-6.0608978572570645e-05,4.805798744200729e-05,-2.5602175810490735e-06,5.36729544364789e-07,0.00018552804249338806,3.6069482121092733e-06,0.03803419999894686,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
4,-13.119900096941993,13.024404215767966,-0.0016657322261289017,5.818230413379388,-0.00022649195679799483,6.020536966389045e-05,7.886687569680362e-08,-1.7360389392706566e-07,6.153426511446014e-05,0.00017903474508784711,0.028582700004335493,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
5,3.236267647042906,-13.876894746658312,0.0010809803377741542,22.695336677585637,0.0005079118166561875,2.4929036953835748e-05,4.646917375339399e-07,-1.2842166086102225e-07,8.861782407620922e-05,1.050521223078249e-05,0.028330500004813075,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
6,-5.392035922917857,-8.442217620635985,0.00041462363644345136,18.911710445704472,0.0005375252914515348,4.439593612914905e-05,4.334573168307543e-05,-9.297957149101421e-06,1.375960073346505e-05,0.00011118045949842781,0.025108299989369698,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
7,5.415749878466015,-6.13338497448782,0.0006370086303467702,8.427255939138062,0.00030572617851073975,4.809998790733516e-05,2.658301241353911e-07,2.3680058802710846e-07,9.481486813456286e-06,0.00018241583893541247,0.01740339999378193,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
8,-0.34070523643186074,5.231063023632647,-0.0004191532050132843,-12.10290225568627,-0.0005115411262364671,6.174739974085242e-05,-4.7058788368303794e-06,-2.4253438368759817e-07,0.00020230568770784885,3.973547791247256e-05,0.024091999992378987,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
9,11.62231772947486,-19.329282384829572,0.0012338566501252474,9.94797751643452,0.0006261995251928236,5.739648622693494e-05,-2.4632583972561406e-08,1.0481471690582111e-08,0.00011632617679424584,0.00011322466161800548,0.02402950001123827,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
10,1.1611946721369257,-7.046656303219453,0.0006329289931439322,19.534266770577418,0.0004318650764636935,4.791004175785929e-05,-4.530420483206399e-11,9.602445061318576e-09,6.376604869728908e-05,0.00012786446313839406,0.016956000006757677,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
11,8.79291480560509,-9.39323849812344,-0.0003169548513684228,-19.778836460315265,0.0001843067475622565,3.732410550583154e-05,1.8191315120930085e-09,1.5593286661896855e-09,2.241817128378898e-05,0.0001268748746952042,0.022074199994676746,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
12,-9.86967419998355,12.6380497482899,-0.0011906697080768572,-8.724148856373436,-0.0007315374472613302,5.2351359045132995e-05,3.3595364357097424e-07,7.440803528879769e-09,0.00016563027747906744,4.343176624388434e-05,0.017748199999914505,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
13,8.339387024676872,-7.60936744899537,0.0005539400747419317,-1.81571926157206,0.00024793450247502773,3.400165951461531e-05,3.881481802636699e-09,-2.654701347637456e-09,4.948207060806453e-05,8.651802636450157e-05,0.02716589999909047,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
14,-7.5701813533332105,1.048291255492852,-0.00037940490220987404,11.668910262613384,0.00021697072603199665,4.372090188553557e-05,9.038240932568442e-06,-1.4597048902942333e-08,0.00011287571396678686,5.2955067076254636e-05,0.021159700001589954,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
15,10.68596519109105,-16.852017010786955,0.0008725914325277738,-0.36920044417223846,0.0006011235676072242,4.703563899965957e-05,2.9742182050540578e-09,-6.539494279422797e-09,9.69489265116863e-05,9.118410525843501e-05,0.01726569999300409,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
16,-8.472570775559374,11.259637951494145,-0.001246445712144009,20.9096342554884,0.0002928480564896676,8.498464740114287e-05,-1.533840077172499e-08,3.5395942177274264e-08,0.0002944411535281688,4.5446711737895384e-05,0.025638199993409216,0.0,0.0,8.648542461742181e-06,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
