step,q1,q2,q3,cv,ch,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
0,-10.0,10.0,10.0,0.0,0.0,9.720764637677348e-07,-13.843831062316895,0.0007189196767285466,-7.2377610206604,1.0956784000009065,0.0,0.0,0.0007189196767285466
1,-26.514983269908033,21.970568746496113,6.066900704592527,0.002496870933552546,-0.005752986068450371,0.00014899559027981013,-8.811594009399414,0.008755620568990707,-4.7380595207214355,0.009437000000616536,0.0,0.0,0.0007189196767285466
2,28.19459112971966,19.946558448025307,-17.25965335930343,-0.003818100393514793,-0.0037991458817587943,3.327262311358936e-05,-10.310775756835938,0.004320160020142794,-5.444462776184082,0.009419699999853037,0.0,0.0,0.0007189196767285466
3,-11.745465422427735,1.4853858979342718,-4.0832988814730555,-0.002505250317623497,0.0013422347366685537,3.460571406321833e-06,-12.574076652526855,0.0015462343581020832,-6.471932888031006,0.008703799998329487,0.0,0.0,0.0007189196767285466
4,-21.63036836087749,-12.47132108788691,-8.0182894023785,-0.0005271601893955691,0.003422111536716163,8.236110261350404e-06,-11.706982612609863,0.0026976352091878653,-5.915379524230957,0.007630400003108662,0.0,0.0,0.0007189196767285466
5,-11.033762392804686,-9.896562484875844,30.0,0.006,0.006,2.4680972273927182e-05,-10.609477996826172,0.0036665438674390316,-5.608505725860596,0.004344500001025153,0.0,0.0,0.0007189196767285466
6,-8.6777837141782,-27.477707082504498,30.0,-0.006,-0.006,5.013484769733623e-05,-9.90079402923584,0.0051623242907226086,-5.266368389129639,0.002846700001100544,0.0,0.0,0.0007189196767285466
7,-15.033925407740927,-27.11571462794293,22.451808511987206,0.006,0.00010905712328447065,3.7249381421133876e-05,-10.197875022888184,0.004349170718342066,-5.437769889831543,0.0022460999971372075,0.0,0.0,0.0007189196767285466
8,-11.728694253360207,30.0,-30.0,-0.006,0.006,4.008970790891908e-07,-14.729560852050781,0.0006330502219498158,-7.364960670471191,0.0022228000016184524,0.0,0.0,0.0006330502219498158
9,-12.320638992806575,26.95474838635308,9.852371498978,-0.006,0.002669098127042284,1.9804106159426738e-06,-13.132205963134766,0.0011439004447311163,-6.773311614990234,0.0022219999991648365,0.0,0.0,0.0006330502219498158
10,-9.990902511363972,19.43078329836212,-26.45543472881724,-0.006,0.0015220929409614512,3.7151613696551067e-07,-14.805673599243164,0.0004936095210723579,-7.613765716552734,0.005698900000425056,0.0,0.0,0.0004936095210723579
11,-11.394609043918814,11.976193685819842,-27.96888274419862,-0.006,0.006,3.4947257177009305e-07,-14.866840362548828,0.0005826716660521924,-7.447886943817139,0.003749999999854481,0.0,0.0,0.0004936095210723579
12,8.530067658743256,12.032481502517301,-23.493788073307613,-0.006,0.0021354564818794643,1.2032797940264572e-06,-13.630459785461426,0.0009148248936980963,-6.9967780113220215,0.0028201000022818334,0.0,0.0,0.0004936095210723579
13,-5.006787846800736,-15.241329859206065,-25.874360962305424,-0.006,0.0020467464550368198,3.0103824428806547e-06,-12.713443756103516,0.001731797819957137,-6.358595371246338,0.0023316999977396335,0.0,0.0,0.0004936095210723579
14,12.588047748323113,23.90482333732467,26.727735565055013,-0.006,0.0009559414127825965,0.0013125436380505562,-6.635788440704346,0.025659209117293358,-3.6628527641296387,0.002173100001527928,0.0,0.0,0.0004936095210723579
15,-30.0,-22.51983185514162,-30.0,0.006,-0.006,1.7296661098953336e-05,-10.964997291564941,0.003952565602958202,-5.533390522003174,0.0021868000003451016,0.0,0.0,0.0004936095210723579
16,17.64990728813637,-30.0,-30.0,0.006,0.006,1.6148271242855117e-05,-11.033697128295898,0.003371281549334526,-5.69246244430542,0.0027069000025221612,0.0,0.0,0.0004936095210723579
17,6.756616227907313,21.180026569485115,-10.283524319488084,0.006,-0.006,3.1374962418340147e-05,-10.369500160217285,0.004096690099686384,-5.497575759887695,0.0023799000009603333,0.0,0.0,0.0004936095210723579
18,-15.255078306258179,-17.264227651891254,-28.62874736395819,0.006,-0.006,4.0769755287328735e-06,-12.410155296325684,0.001466238172724843,-6.525055408477783,0.005613400000584079,0.0,0.0,0.0004936095210723579
19,-19.55524239159324,30.0,-20.821377501715062,-0.006,0.006,1.6612503941360046e-06,-13.307939529418945,0.0011673399712890387,-6.753027439117432,0.002612500000395812,0.0,0.0,0.0004936095210723579
20,4.926311384297204,30.0,-30.0,0.006,-0.006,1.0622390618664213e-05,-11.452546119689941,0.0025728000327944756,-5.9627604484558105,0.005618700000923127,0.0,0.0,0.0004936095210723579
21,15.764657657099045,30.0,-17.777659273986174,-0.006,0.006,2.6232153686578386e-05,-10.548524856567383,0.003820188110694289,-5.567455768585205,0.002200200000515906,0.0,0.0,0.0004936095210723579
22,-17.437730968081794,-30.0,-30.0,-0.006,0.006,9.666946425568312e-06,-11.546797752380371,0.0024791883770376444,-5.999824047088623,0.0021193000029597897,0.0,0.0,0.0004936095210723579
23,-11.409710422996397,30.0,-12.24371410614421,0.006,0.006,2.735184239099908e-07,-15.111896514892578,0.0005229485686868429,-7.556027412414551,0.00637309999729041,0.0,0.0,0.0004936095210723579
24,-7.518516735261575,30.0,9.100187864426365,0.006,0.006,1.5656301911803894e-05,-11.064637184143066,0.0029652034863829613,-5.820809364318848,0.0024792999975034036,0.0,0.0,0.0004936095210723579
