step,q1,q2,q3,cv,ch,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
0,-10.0,10.0,10.0,0.0,0.0,3.5676100651471643e-07,-14.846199989318848,0.0005577479023486376,-7.491603374481201,0.514833199998975,0.0,0.0,0.0005577479023486376
1,-26.514983269908033,21.970568746496113,6.066900704592527,0.002496870933552546,-0.005752986068450371,4.017829633085057e-05,-10.122183799743652,0.00552279083058238,-5.198872089385986,0.009653099998104153,0.0,0.0,0.0005577479023486376
2,28.19459112971966,19.946558448025307,-17.25965335930343,-0.003818100393514793,-0.0037991458817587943,2.063505962723866e-05,-10.788518905639648,0.004520604852586985,-5.399109363555908,0.005105399999592919,0.0,0.0,0.0005577479023486376
3,-11.745465422427735,1.4853858979342718,-4.0832988814730555,-0.002505250317623497,0.0013422347366685537,9.40530480875168e-06,-11.574236869812012,0.002717008348554373,-5.908224105834961,0.0028243000015208963,0.0,0.0,0.0005577479023486376
4,-21.63036836087749,-12.47132108788691,-8.0182894023785,-0.0005271601893955691,0.003422111536716163,0.00012068791693309322,-9.022302627563477,0.008632782846689224,-4.752188205718994,0.002502499999536667,0.0,0.0,0.0005577479023486376
5,-5.421718969393924,15.119330514365442,15.443439738861011,-0.0044140852865460715,0.0012712074546781715,4.745454134535976e-06,-12.258323669433594,0.0020642231684178114,-6.183001518249512,0.003370400001585949,0.0,0.0,0.0005577479023486376
6,17.63263686847997,8.774251405663298,18.15141268607391,0.006,0.0035579476048000266,0.00012862686708103865,-8.958595275878906,0.008390504866838455,-4.780654430389404,0.0028816000012739096,0.0,0.0,0.0005577479023486376
7,-6.813141239133828,7.316320271367561,9.016211448422869,-0.001257625450675288,-0.0029553543624246713,1.7041855926436256e-07,-15.58500862121582,0.00032067560823634267,-8.045080184936523,0.002827100001013605,0.0,0.0,0.00032067560823634267
8,-7.417466989475139,17.392191041624052,-4.415456791726468,0.0029617828148292102,-0.00593707210698128,7.731548521405784e-07,-14.072786331176758,0.0008533328073099256,-7.066360950469971,0.0038887000009708572,0.0,0.0,0.00032067560823634267
9,-7.346730471685766,-5.21858883942315,29.2984427118168,0.00457780317526927,-0.0029421148747092616,3.298368028481491e-06,-12.622082710266113,0.0017824997194111347,-6.329738616943359,0.0028110999992350116,0.0,0.0,0.00032067560823634267
10,-10.981976934329147,18.88910778288466,25.201818876340464,-0.0008804716768224204,-0.006,2.8436779757612385e-06,-12.77041244506836,0.001575865433551371,-6.452950477600098,0.0030235999984142836,0.0,0.0,0.00032067560823634267
11,-5.206953398028661,8.93425019472147,19.14597656625022,0.0034132204619690917,0.006,2.8011402264382923e-06,-12.785484313964844,0.0015985730569809675,-6.438643932342529,0.002714499998546671,0.0,0.0,0.00032067560823634267
12,-8.081966809493192,8.47564084543941,30.0,0.006,-0.006,2.668650722625898e-06,-12.833937644958496,0.0014853609027341008,-6.512097358703613,0.002732800003286684,0.0,0.0,0.00032067560823634267
